COD_TIPO_VIP_ADE|NOM_COMP_CLI_ADE|COD_TIPO_LOGR_UN_CONS_ADE|COD_LOGR_UN_CONS_ADE|NOM_LOGR_UN_CONS_ADE|NUM_IMVL_UN_CONS_ADE|DES_CPTO_ENDE_UN_CONS_ADE|NOM_BAIR_UN_CONS_ADE|COD_CEP_UN_CONS_ADE|NUM_FONE_PRIN_CLI_ADE|COD_EMAIL_CLI_ADE|NUM_FAX_PRIN_CLI_ADE|COD_LOC_ADE|COD_UN_CONS_ADE|NOVAUC|NUM_EQIP_ADE|COD_CLAS_PRIN_ADE|COD_CLAS_CONS_ADE|QTD_TENS_LIG_ADE|COD_SITU_UN_CONS_ADE|COD_TIPO_PROG_ESPC_ADE|COD_GRU_TENS_FAT_ADE|COD_SUB_GRU_FAT_ADE|COD_TIPO_TAR_FAT_ADE|STA_GER_CARGA_ADE|COD_TIPO_LOGR_CLI_ADE|NOM_LOGR_CLI_ADE|NUM_IMVL_CLI_ADE|DES_CPTO_ENDE_CLI_ADE|NOM_BAIR_CLI_ADE|COD_CEP_CLI_ADE|NOM_MUN_CLI_ADE|COD_UF_CLI_ADE|NOM_PAI_CLI_ADE|COD_CXPT_CLI_ADE|DTA_INC_ADE|NOM_USU_INC_ADE|STA_LEIT_REG_ADE|DTA_LIG_ADE|NUM_FONE_CEL_CLI_ADE|COD_ETAP_ADE|COD_LIVR_ADE|NUM_SEQ_LIVR_ADE|COD_AUX_ADE|DTA_PROGM_ADE|NUM_PSTE_ADE|COD_TIPO_FASE_ADE|COD_FASE_LIG_ADE|NUM_DISJ_ADE|COD_TIPO_RAMAL_LIG_ADE|NUM_CPMT_RAMAL_LIG_ADE|QTD_TENS_CONR_ADE|NUM_CLI_ADE|COD_TIPO_LOC_COM_ADE|COD_TIPO_LOC_TEC_ADE|COD_SUB_GRU_ORIG_ADE|NUM_EQIP_REAT_ADE|NUM_EQIP_DEM_ADE|COD_TIPO_CORT_TEC_ADE|COD_MOTI_DESL_ADE|DTA_DESL_UN_CONS_ADE|DTA_RLIG_UN_CONS_ADE|COD_AREA_DDD_ADE|NUM_RAMAL_FONE_ADE|COD_TIPO_TRIB_ADE|COD_TIPO_GER_ADE|NUM_COORX_PSTE_ADE|NUM_COORY_PSTE_ADE|COD_POST_TRA_ADE|COD_FORM_DESL_ADE|DES_PTO_REF_UN_CONS_ADE|COD_CLAS_ATIV_ECON_TRAT_ADE|DES_CPTO_ENDE_TRAT_ADE|DES_PTO_REF_TRAT_ADE|COD_CLAS_PRIN_TRAT_ADE|COD_TIPO_FASE_TRAT_ADE|COD_CONJ_UN_CONS_ADE|NUM_SEQ_OPER_MAT_ADE|STA_RAMAL_SERV_ADE|STA_SITU_RAMAL_SERV_ADE|COD_EMAIL_CONT_ADE|COD_TIPO_VIP_UC_ADE|COD_TIPO_VIP_CLI_ADE|VAL_ENC_USO_SIS_DISTR_UC|DATA_REF_ENC_USO_UC|COD_TIPO_IMOV_UC|EMAIL_UC|IDENT_CELU_UC|COORD_X_UC|COORD_Y_UC|VAL_BASE_CALC_COMPEN_UC|VAL_PTO_CLI_UC|NUM_TRECHO_LOG_SEGM_UC|DATA_ULT_FISCAL_UC|DATA_INIC_CONS_UC
|||R HOMOLOG -> ANTONIO GERONASSO||13|SE BCH 69 BACACHERI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|13-11-1990 12:00:00||CYCLE08|402111|49||||TR              |ABCN            |||||8753655000|UB|UB|B3              |||||31-03-2022 12:00:00|31-03-2022 11:33:01|||||||||||SE BCH 69 BACACHERI||8|TR              |||||cadastro.digital@copel.com|||1594.87||13|cadastro.digital@copel.com|41988474924|-49.247359|-25.39707|1594.87|B |||10-09-2013 12:00:00
|||R HOMOLOG -> IPIRANGA||176|UAP FLA  FLORESTA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|27-03-1995 12:00:00||CYCLE010|033211|110||||BI              |ABN             |||||9157655000|UB|UB|B3              |||||09-05-2012 11:12:22|22-02-2023 11:41:01|||||||||||UAP FLA  FLORESTA||8|BI              |||||testesappcopel@gmail.com|||33.87||176|testesappcopel@gmail.com|41988474924|-52.078893|-23.614197|33.87|B |||13-09-2013 12:00:00
|||R HOMOLOG -> IPANEMA||NA|SE FBL 138 FRANCISCO BELTRAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-05-1979 12:00:00||CYCLE090|032039|1||||TR              |ABCN            |||||9163555000|UB|UB|B3              |||||||||||||||||SE FBL 138 FRANCISCO BELTRAO||8|TR              |||||cadastro.digital@copel.com|||69.4||NA|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> TEIXEIRA SOARES||NA|SE IRT 138 IRATI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|18-11-1978 12:00:00||CYCLE09|009553|17||||TR              |ABCN            |||||9647655000|UB|UB|B3              |||||16-12-2013 12:00:00|13-01-2023 12:00:00|||||||||||SE IRT 138 IRATI||8|TR              |||||cadastro.digital@copel.com|||1833.08||NA|cadastro.digital@copel.com|41988474924|-50.668544|-25.473775|1833.08|B |||07-09-2013 12:00:00
|||AV HOMOLOG -> IGUACU||848|UAP BAN  BALSA NOVA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-06-1984 12:00:00||CYCLE03|004635|36||||TR              |ABCN            |||||9704555000|UB|UB|B3              |||||22-04-2024 04:34:18|22-04-2024 04:34:19|||||||||||UAP BAN  BALSA NOVA||8|TR              |||||testesappcopel@gmail.com|||83.43||848|testesappcopel@gmail.com|41988474924|-49.630452|-25.580228|83.43|B |||06-10-2013 12:00:00
|||R HOMOLOG -> DAS MARITACAS||120|ALMOX LNA  LAB MEDICAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-06-2010 12:00:00||CYCLE04|004005|13||||TR              |ABCN            |||||0073655000|UB|UB|B3              |||||05-09-2010 12:00:00|03-03-2020 12:00:00|||||||||||ALMOX LNA  LAB MEDICAO||8|TR              |||||cadastro.digital@copel.com|||104.95||120|cadastro.digital@copel.com|41988474924|-51.138318|-23.291141|104.95|B |||05-10-2013 12:00:00
|||R HOMOLOG -> ESPIRITO SANTO||870|AG MCR  MARECHAL CANDIDO RONDON||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|17-09-1974 12:00:00||CYCLE014|016053|14||||TR              |ABCN            |||||0153555000|UB|UB|B3              |||||17-03-2020 12:00:00|17-03-2020 12:00:00|||||||||||AG MCR  MARECHAL CANDIDO RONDON||8|TR              |||||cadastro.digital@copel.com|||194.64||870|cadastro.digital@copel.com|41988474924|-54.058143|-24.55878|194.64|B |||19-09-2013 12:00:00
|||EST HOMOLOG -> FREI ANGELO CARU||NA|SE AMP 34 5 AMPERE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|20-12-1990 12:00:00||CYCLE090|032021|1||||TR              |ABCN            |||||0853655000|UB|UB|B3              |||||||||||||||||SE AMP 34 5 AMPERE||8|TR              |||||testesappcopel@gmail.com|||69.4||NA|testesappcopel@gmail.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||ROD HOMOLOG -> PR 218||NA|PE 01070 2024 - SUBESTACAO INDEMIL 138KV||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|19-06-2024 01:33:00||CYCLE018|022645|79||||TR              |ABCN            |||||0967655000|RR|RR|B3              |||||25-07-2024 12:00:00|25-07-2024 12:00:00|||||||||||PE 01070 2024 - SUBESTACAO INDEMIL 138KV||8|TR              |||||testesappcopel@gmail.com|||68.4||NA|testesappcopel@gmail.com|41988474924|0|0|68.4|B |||19-06-2024 12:00:00
|||ROD HOMOLOG -> PR 323 JOAO JORGE SAAD||2103|SE PDU 34 5 PAICANDU||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|07-12-2000 12:00:00||CYCLE012|014274|149||||TR              |ABCN            |||||1405555000|UB|UB|B3              ||||||18-10-2024 08:00:00|||||||||||SE PDU 34 5 PAICANDU||8|TR              |||||testesappcopel@gmail.com|||68.04||2103|testesappcopel@gmail.com|41988474924|0|0|68.04|B |||17-09-2013 12:00:00
|||R HOMOLOG -> CORRUIRAS||135|ALMOX LNA  LONDRINA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|24-09-1980 12:00:00||CYCLE04|004008|78||||TR              |ABCN            |||||2843655000|UB|UB|B3              |||||24-01-2013 05:55:00|03-03-2020 12:00:00|||||||||||ALMOX LNA  LONDRINA||8|TR              |||||cadastro.digital@copel.com|||66.84||135|cadastro.digital@copel.com|41988474924|-51.137663|-23.290148|66.84|B |||05-10-2013 12:00:00
|||R HOMOLOG -> ANTONIO MUNHOZ||NA|SE ALT 138 ALTONIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|29-03-1990 12:00:00||CYCLE010|031790|21||||TR              |ABCN            |||||3063555000|UB|UB|B3              |||||28-03-2012 12:00:00|14-02-2022 12:00:00|||||||||||SE ALT 138 ALTONIA||8|TR              |||||cadastro.digital@copel.com|||2541.6||NA|cadastro.digital@copel.com|41988474924|-53.889494|-23.864714|2541.6|B |||10-09-2013 12:00:00
|||R HOMOLOG -> PRINCESA ISABEL||82|UAP NSG  NOSSA SENHORA DAS GRACAS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|26-08-1997 12:00:00||CYCLE03|004061|142||||BI              |BCN             |||||3263655000|UB|UB|B3              ||||||23-11-1997 12:00:00|||||||||||UAP NSG  NOSSA SENHORA DAS GRACAS||8|BI              |||||cadastro.digital@copel.com|||112.15||82|cadastro.digital@copel.com|41988474924|-51.796796|-22.911229|112.15|B |||05-10-2013 12:00:00
|||AL HOMOLOG -> PRESIDENTE TAUNAY||1905|SE MCS 69 MERCES||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|22-10-2012 04:00:00||CYCLE09|518731|159||||TR              |ABC             |||||4175555000|UB|UB|B3              |||||17-10-2019 12:00:00|15-07-2022 11:27:01|||||||||||SE MCS 69 MERCES||8|TR              |||||cadastro.digital@copel.com|||67.57||1905|cadastro.digital@copel.com|41988474924|-49.291061|-25.42359|67.57|B |||22-10-2012 12:00:00
|||R HOMOLOG -> JOSE JULIO CLETO DA SILVA||NA|SE UVI 138 UNIAO DA VITORIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|04-09-1988 12:00:00||CYCLE013|013558|87||||TR              |ABCN            |||||4455555000|UB|UB|B3              ||||||04-09-1988 12:00:00|||||||||||SE UVI 138 UNIAO DA VITORIA||8|TR              |||||testesappcopel@gmail.com|||2272.29||NA|testesappcopel@gmail.com|41988474924|-51.09074|-26.24487|2272.29|B |||21-09-2013 12:00:00
|||R HOMOLOG -> JUSSARA||1634|SE STE 34 5 SAO TOME||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|16-10-1974 12:00:00||CYCLE011|036084|8||||TR              |ABCN            |||||4647655000|UB|UB|B3              |||||18-08-2012 08:48:00|18-08-2012 08:48:01|||||||||||SE STE 34 5 SAO TOME||8|TR              |||||testesappcopel@gmail.com|||67.89||1634|testesappcopel@gmail.com|41988474924|-52.585378|-23.53483|67.89|B |||13-09-2013 12:00:00
|||ROD HOMOLOG -> BR 373||NA|SE TOL 138 TIROL||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|25-05-2021 12:35:00||CYCLE08|010979|58||||TR              |ABCN            |||||4675555000|RR|RR|B3              ||||||25-05-2021 11:45:00|||||||||||SE TOL 138 TIROL||8|TR              |||||ESTEFANOKALATAI@HOTMAIL.COM|||646.26||NA|ESTEFANOKALATAI@HOTMAIL.COM|41988474924|-50.40676|-25.086363|646.26|B |||25-05-2021 12:00:00
|||R HOMOLOG -> IRINEU GOBBO||NA|SE TGI 138 TIBAGI||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|27-03-1984 12:00:00||CYCLE011|011723|51||||TR              |ABCN            |||||4747655000|UB|UB|B3              |||||||||||||||||SE TGI 138 TIBAGI||8|TR              |||||cadastro.digital@copel.com|||67.86||NA|cadastro.digital@copel.com|41988474924|0|0|67.86|B |||14-09-2013 12:00:00
|||AV HOMOLOG -> FRANCISCO ALVES DE ALMEIDA||NA|SE CMK 34 5 CONSELHEIRO MAIRINCK||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|08-08-1988 12:00:00||CYCLE013|030556|192||||TR              |ABCN            |||||5406655000|UB|UB|B3              |||||10-11-2022 04:05:00|10-11-2022 04:05:01|||||||||||SE CMK 34 5 CONSELHEIRO MAIRINCK||8|TR              |||||cadastro.digital@copel.com|||703.6||NA|cadastro.digital@copel.com|41988474924|0|0|703.6|B |||19-09-2013 12:00:00
|||AV HOMOLOG -> VER APARECIDO DA CUNHA||NA|SE IVA 34 5 IVAILANDIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-05-2010 12:00:00||CYCLE010|013264|78||||BI              |ACN             |||||6067655000|UB|UB|B3              |||||||||||||||||SE IVA 34 5 IVAILANDIA||8|BI              |||||cadastro.digital@copel.com|||241.93||NA|cadastro.digital@copel.com|41988474924|0|0|241.93|B |||14-09-2013 12:00:00
|||ROD HOMOLOG -> PR 182 JULIO MOTTA||NA|SE LDA 138 LOANDA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-05-1984 12:00:00||CYCLE01|001128|67||||TR              |ABCN            |||||7353655000|UB|UB|B3              |||||02-06-2010 12:00:00|02-06-2010 12:00:00|||||||||||SE LDA 138 LOANDA||8|TR              |||||testesappcopel@gmail.com|||1465.51||NA|testesappcopel@gmail.com|41988474924|-53.116676|-22.930186|1465.51|B |||02-10-2013 12:00:00
|||R HOMOLOG -> BAHIA||NA|SE NTU 34 5 NOVA CANTU||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|01-06-1989 12:00:00||CYCLE013|013402|345||||TR              |ABCN            |||||7547655000|UB|UB|B3              |||||||||||||||||SE NTU 34 5 NOVA CANTU||8|TR              |||||cadastro.digital@copel.com|||241.34||NA|cadastro.digital@copel.com|41988474924|0|0|241.34|B |||18-09-2013 12:00:00
|||R HOMOLOG -> MOURAO||NA|SE CLM 34 5 CAP L MARQUES||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|06-11-1974 12:00:00||CYCLE090|032028|1||||TR              |ABCN            |||||8106655000|UB|UB|B3              |||||||||||||||||SE CLM 34 5 CAP L MARQUES||8|TR              |||||testesappcopel@gmail.com|||69.4||NA|testesappcopel@gmail.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||AV HOMOLOG -> DES MUNHOZ DE MELO||NA|SE CFL 138 CAFELANDIA||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|10-02-1989 12:00:00||CYCLE090|032025|1||||TR              |ABCN            |||||8455555000|UB|UB|B3              |||||||||||||||||SE CFL 138 CAFELANDIA||8|TR              |||||cadastro.digital@copel.com|||69.4||NA|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> SILVAS DO BRASIL||304|SE PRU 34 5 PRUDENTOPOLIS||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|08-05-2019 11:52:00||CYCLE09|008832|31||||BI              |ABN             |||||8575555000|UB|UB|B3              |||||13-08-2024 12:01:00|04-11-2024 04:52:01|||||||||||SE PRU 34 5 PRUDENTOPOLIS||8|BI              |||||testesappcopel@gmail.com|||8788.93||304|testesappcopel@gmail.com|41988474924|-50.970773|-25.206953|8788.93|B |||08-05-2019 12:00:00
|||R HOMOLOG -> RIO GRANDE DO NORTE||NA|SE DIN 34 5 DIAMANTE DO NORTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-05-1980 12:00:00||CYCLE05|005752|126||||TR              |ABCN            |||||8653655000|UB|UB|B3              |||||||||||||||||SE DIN 34 5 DIAMANTE DO NORTE||8|TR              |||||testesappcopel@gmail.com|||134.2||NA|testesappcopel@gmail.com|41988474924|0|0|134.2|B |||07-09-2013 12:00:00
|||POV HOMOLOG -> LINHA BELTRAO||NA|REP IVI  IVAI||||||R               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|14-10-1995 12:00:00||CYCLE032|018384|41||||MR              |ABN             |||||0163655000|RR|RR|B3              |||||21-03-2013 01:57:04|21-03-2013 01:57:04|||||||||||REP IVI  IVAI||8|MR              |||||testesappcopel@gmail.com|||67.36||NA|testesappcopel@gmail.com|41988474924|0|0|67.36|B |||18-01-2022 12:00:00
|||R HOMOLOG -> PORTO ALEGRE||NA|SE PMO 138 PALERMO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|07-08-1996 12:00:00||CYCLE05|008597|38||||TR              |ABCN            |||||0205555000|UB|UB|B3              |||||21-08-2017 12:20:00|08-12-2022 12:00:00|||||||||||SE PMO 138 PALERMO||8|TR              |||||cadastro.digital@copel.com|||5961.5||NA|cadastro.digital@copel.com|41988474924|-51.171743|-23.301016|5961.5|B |||10-09-2013 12:00:00
|||AV HOMOLOG -> PE ANCHIETA||NA|SE VCR 34 5 VERA CRUZ DO OESTE||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|28-08-1980 12:00:00||CYCLE090|032071|1||||TR              |ABCN            |||||1845555000|UB|UB|B3              |||||||||||||||||SE VCR 34 5 VERA CRUZ DO OESTE||8|TR              |||||cadastro.digital@copel.com|||69.4||NA|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> MEDIANEIRA||NA|SE MIL 34 5 MISSAL||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-07-1985 12:00:00||CYCLE090|032048|1||||TR              |ABCN            |||||2153555000|UB|UB|B3              |||||||||||||||||SE MIL 34 5 MISSAL||8|TR              |||||cadastro.digital@copel.com|||69.4||NA|cadastro.digital@copel.com|41988474924|0|0|69.4|B |||01-10-2013 12:00:00
|||R HOMOLOG -> DOMINGOS CALIXTO||1000|SE PHL 34 5 PINHALAO||||||U               |                ||||        ||LG||B               |B3              |CONVENTIONAL    ||||||||||||||N|30-03-1981 12:00:00||CYCLE016|016150|158||||TR              |ABCN            |||||2453555000|UB|UB|B3              |||||||||||||||||SE PHL 34 5 PINHALAO||8|TR              |||||cadastro.digital@copel.com|||203.54||1000|cadastro.digital@copel.com|41988474924|0|0|203.54|B |||17-09-2013 12:00:00
